通さない,203,203,6193,助動詞,*,*,*,特殊・ナイ,基本形,通すない,トオサナイ,トーサナイ
踏み切らない,202,202,6192,助動詞,*,*,*,特殊・ナイ,基本形,踏み切らない,フミキラナイ,フミキラナイ
得ない,181,181,6280,助動詞,*,*,*,特殊・ナイ,基本形,得ない,エナイ,エナイ
買えない,1000,1000,1000,助動詞,*,*,*,特殊・ナイ,基本形,買えるない,カエナイ,カエナイ
分からない,175,175,6180,助動詞,*,*,*,特殊・ナイ,基本形,分からない,ワカラナイ,ワカラナイ
変わらない,179,179,6188,助動詞,*,*,*,特殊・ナイ,基本形,変わらない,カワラナイ,カワラナイ
望まない,184,184,6193,助動詞,*,*,*,特殊・ナイ,基本形,望むない,ノゾマナイ,ノゾマナイ
満たない,189,189,6193,助動詞,*,*,*,特殊・ナイ,基本形,満たない,ミタナイ,ミタナイ
頼らない,208,208,6192,助動詞,*,*,*,特殊・ナイ,基本形,頼らない,タヨラナイ,タヨラナイ
１０３６万人,1398,1398,1443,数詞,一般,*,*,*,*,１０３６万人,センサンジュウロクマンニン,センサンジューロクマンニン
１０年物,1398,1398,1444,数詞,一般,*,*,*,*,１０年物,ジュウネンモノ,ジューネンモノ
１２４２万人,1398,1398,1445,数詞,一般,*,*,*,*,１２４２万人,センニヒャクヨンジュウニマンニン,センニヒャクヨンジューニマンニン
１３３６万人,1398,1398,1443,数詞,一般,*,*,*,*,１３３６万人,センサンビャクサンジュウロクマンニン,センサンビャクサンジューロクマンニン
１５キロ,1398,1398,1388,数詞,一般,*,*,*,*,１５キロ,ジュウゴキロ,ジュ－ゴキロ
1つめ,1398,1398,1438,数詞,一般,*,*,*,*,1つめ,ヒトツメ,ヒトツメ
1億,1398,1398,1445,数詞,一般,*,*,*,*,1億,イチオク,イチオク
２０万人,1398,1398,1444,数詞,一般,*,*,*,*,２０万人,ニジュウマンニン,ニジューマンニン
２８人,1398,1398,1359,数詞,一般,*,*,*,*,２８人,ニジュウハチニン,ニジュ－ハチニン
2億,1398,1398,1445,数詞,一般,*,*,*,*,2億,ニオク,ニオク
３００万人,1398,1398,1521,数詞,一般,*,*,*,*,３００万人,サンビャクマンニン,サンビャクマンニン
3つ,1398,1398,1441,数詞,一般,*,*,*,*,3つ,ミッツ,ミッツ
3億,1398,1398,1445,数詞,一般,*,*,*,*,3億,サンオク,サンオク
３万,1398,1398,1440,数詞,一般,*,*,*,*,３万,サンマン,サンマン
５４万,1398,1398,1444,数詞,一般,*,*,*,*,５４万,ゴジュウヨンマン,ゴジューヨンマン
5分の1,1398,1398,1445,数詞,一般,*,*,*,*,5分の1,ゴブンノイチ,ゴブンノイチ
７０００人,1398,1398,1444,数詞,一般,*,*,*,*,７０００人,ナナセンニン,ナナセンニン
８０００人,1398,1398,1444,数詞,一般,*,*,*,*,８０００人,ハッセンニン,ハッセンニン
四年物,1398,1398,2672,数詞,一般,*,*,*,*,四年物,ヨネンモノ,ヨネンモノ
必須三条件,1398,1398,5405,数詞,一般,*,*,*,*,必須三条件,ヒッスサンジョウケン,ヒッスサンジョーケン
